match_number,round,datetime_utc,date,location,group,home,away,home_score,away_score,winner,teams_known,played,stage
1,1,2026-06-11 19:00:00+00:00,2026-06-11,Mexico City Stadium,Group A,Mexico,South Africa,2.0,0.0,Mexico,True,True,group
2,1,2026-06-12 02:00:00+00:00,2026-06-12,Guadalajara Stadium,Group A,Korea Republic,Czechia,2.0,1.0,Korea Republic,True,True,group
3,1,2026-06-12 19:00:00+00:00,2026-06-12,Toronto Stadium,Group B,Canada,Bosnia and Herzegovina,1.0,1.0,Draw,True,True,group
4,1,2026-06-13 01:00:00+00:00,2026-06-13,Los Angeles Stadium,Group D,USA,Paraguay,4.0,1.0,USA,True,True,group
5,1,2026-06-14 01:00:00+00:00,2026-06-14,Boston Stadium,Group C,Haiti,Scotland,0.0,1.0,Scotland,True,True,group
6,1,2026-06-14 04:00:00+00:00,2026-06-14,BC Place Vancouver,Group D,Australia,Türkiye,2.0,0.0,Australia,True,True,group
7,1,2026-06-13 22:00:00+00:00,2026-06-13,New York/New Jersey Stadium,Group C,Brazil,Morocco,1.0,1.0,Draw,True,True,group
8,1,2026-06-13 19:00:00+00:00,2026-06-13,San Francisco Bay Area Stadium,Group B,Qatar,Switzerland,1.0,1.0,Draw,True,True,group
9,1,2026-06-14 23:00:00+00:00,2026-06-14,Philadelphia Stadium,Group E,Côte d'Ivoire,Ecuador,1.0,0.0,Côte d'Ivoire,True,True,group
10,1,2026-06-14 17:00:00+00:00,2026-06-14,Houston Stadium,Group E,Germany,Curaçao,7.0,1.0,Germany,True,True,group
11,1,2026-06-14 20:00:00+00:00,2026-06-14,Dallas Stadium,Group F,Netherlands,Japan,2.0,2.0,Draw,True,True,group
12,1,2026-06-15 02:00:00+00:00,2026-06-15,Monterrey Stadium,Group F,Sweden,Tunisia,5.0,1.0,Sweden,True,True,group
13,1,2026-06-15 22:00:00+00:00,2026-06-15,Miami Stadium,Group H,Saudi Arabia,Uruguay,1.0,1.0,Draw,True,True,group
14,1,2026-06-15 16:00:00+00:00,2026-06-15,Atlanta Stadium,Group H,Spain,Cabo Verde,0.0,0.0,Draw,True,True,group
15,1,2026-06-16 01:00:00+00:00,2026-06-16,Los Angeles Stadium,Group G,IR Iran,New Zealand,2.0,2.0,Draw,True,True,group
16,1,2026-06-15 19:00:00+00:00,2026-06-15,Seattle Stadium,Group G,Belgium,Egypt,1.0,1.0,Draw,True,True,group
17,1,2026-06-16 19:00:00+00:00,2026-06-16,New York/New Jersey Stadium,Group I,France,Senegal,3.0,1.0,France,True,True,group
18,1,2026-06-16 22:00:00+00:00,2026-06-16,Boston Stadium,Group I,Iraq,Norway,1.0,4.0,Norway,True,True,group
19,1,2026-06-17 01:00:00+00:00,2026-06-17,Kansas City Stadium,Group J,Argentina,Algeria,3.0,0.0,Argentina,True,True,group
20,1,2026-06-17 04:00:00+00:00,2026-06-17,San Francisco Bay Area Stadium,Group J,Austria,Jordan,3.0,1.0,Austria,True,True,group
21,1,2026-06-17 23:00:00+00:00,2026-06-17,Toronto Stadium,Group L,Ghana,Panama,1.0,0.0,Ghana,True,True,group
22,1,2026-06-17 20:00:00+00:00,2026-06-17,Dallas Stadium,Group L,England,Croatia,4.0,2.0,England,True,True,group
23,1,2026-06-17 17:00:00+00:00,2026-06-17,Houston Stadium,Group K,Portugal,Congo DR,1.0,1.0,Draw,True,True,group
24,1,2026-06-18 02:00:00+00:00,2026-06-18,Mexico City Stadium,Group K,Uzbekistan,Colombia,1.0,3.0,Colombia,True,True,group
25,2,2026-06-18 16:00:00+00:00,2026-06-18,Atlanta Stadium,Group A,Czechia,South Africa,1.0,1.0,Draw,True,True,group
26,2,2026-06-18 19:00:00+00:00,2026-06-18,Los Angeles Stadium,Group B,Switzerland,Bosnia and Herzegovina,4.0,1.0,Switzerland,True,True,group
27,2,2026-06-18 22:00:00+00:00,2026-06-18,BC Place Vancouver,Group B,Canada,Qatar,6.0,0.0,Canada,True,True,group
28,2,2026-06-19 01:00:00+00:00,2026-06-19,Guadalajara Stadium,Group A,Mexico,Korea Republic,1.0,0.0,Mexico,True,True,group
29,2,2026-06-20 00:30:00+00:00,2026-06-20,Philadelphia Stadium,Group C,Brazil,Haiti,3.0,0.0,Brazil,True,True,group
30,2,2026-06-19 22:00:00+00:00,2026-06-19,Boston Stadium,Group C,Scotland,Morocco,0.0,1.0,Morocco,True,True,group
